property_title,url_destination,status
0 BWI_OUTPUT,,red
100 Labor,Website does not show availability; will have to find a solution,yellow
120 Ninth Street,https://www.apartmentlist.com/tx/san-antonio/120-ninth-street,white
1800 Broadway,https://www.apartmentlist.com/tx/san-antonio/1800-broadway,white
7600 Broadway,https://www.apartmentlist.com/tx/san-antonio/7600-broadway,white
Abacus,,red
Abacus West,https://liveabacuswest.com/,yellow
Abbey at Dominion Crossing,https://www.apartmentlist.com/tx/san-antonio/abbey-at-dominion-crossing,white
Abbey at Sonterra,https://www.apartmentlist.com/tx/san-antonio/the-abbey-at-sonterra,white
Abbey at Stone Oak,https://www.abbeyresidential.com/apartments/tx/san-antonio/stone-oak-parkway/,yellow
Abbey Grande Oaks,https://www.apartmentlist.com/tx/san-antonio/the-abbey-at-grande-oaks,white
Acero Southtown,https://www.apartmentlist.com/tx/san-antonio/acero-southtown,white
Agave,https://www.apartmentlist.com/tx/san-antonio/agave,white
Agora,https://www.apartmentlist.com/tx/san-antonio/agora-stone-oak,white
Alamar,https://www.apartmentlist.com/tx/san-antonio/alamar,white
Altamonte,,red
Amara,https://www.apartmentlist.com/tx/san-antonio/amara,white
Anthony Canyon Springs,https://www.anthonyatcanyonsprings.com/,yellow
Arbolada,https://www.apartmentlist.com/tx/san-antonio/arbolada,white
Art House,https://www.apartmentlist.com/tx/san-antonio/art-house,white
Artessa,https://www.apartmentlist.com/tx/san-antonio/artessa-at-quarry-village,white
Ascend 1604,https://www.apartmentlist.com/tx/san-antonio/ascend-at-1604,white
Ascent Cresta Bella,https://ascentcrestabella.com/,yellow
Aspire at Tampico,https://www.apartmentlist.com/tx/san-antonio/aspire-at-tampico,white
Augusta Flats,https://www.apartmentlist.com/tx/san-antonio/augusta-flats,white
Altamonte,,red
Axis Hamilton,https://www.apartmentlist.com/tx/san-antonio/axis-hamilton,white
Axis Rim,,red
Azul,https://www.apartmentlist.com/tx/san-antonio/azul-apartment-homes,red
Azure City Living,https://www.apartmentlist.com/tx/san-antonio/azure-city-living--1,white
Baldwin,https://www.apartmentlist.com/tx/san-antonio/the-baldwin,red
Barcelona Lofts,,red
Beacon at Meridian,https://www.beaconatmeridian.com/,yellow
Belcara,https://www.apartmentlist.com/tx/san-antonio/9723-via-belcara,white
Berkshire at the Rim,https://www.berkshireattherim.com/,yellow
Birdsong Alamo Ranch,,red
Birdsong Leon Springs,https://www.apartmentlist.com/tx/scenic-oaks/birdsong-apartments-at-leon-springs,white
Boulevard Sonterra,https://boulevardatsonterra.com/,yellow
Brio Lookout,https://www.apartmentlist.com/tx/san-antonio/brio-at-lookout,white
Caroline Longhorn Quarry,https://www.apartmentlist.com/tx/san-antonio/caroline-at-longhorn-quarry,white
Celeste,https://www.liveceleste.com/,yellow
Centex Davis Ranch,,red
Chase Hill Apartments,https://www.apartmentlist.com/tx/san-antonio/chase-hill,white
Chesmar Villamanta Med Center,,red
Citadel Lookout,,red
Cottages at Leon Creek,https://www.apartmentlist.com/tx/san-antonio/cottages-at-leon-creek,white
Culebra Commons,https://www.apartmentlist.com/tx/san-antonio/culebra-commons,white
Dalian 151,https://www.apartmentlist.com/tx/san-antonio/dalian-151,yellow
Dalian Monterrey Village,https://www.apartmentlist.com/tx/san-antonio/dalian-monterrey-village,yellow
District at Medical,https://www.apartmentlist.com/tx/san-antonio/the-district-at-medical-center,white
Dolce Vita,https://www.apartmentlist.com/tx/bexar-county/dolce-vita-at-cibolo-canyons,white
DR Horton Langdon,,red
Durrington Ridge,https://www.apartmentlist.com/tx/san-antonio/durrington-ridge-luxury-apartments,white
Dwell Legacy,,red
Easton Luxury,https://www.apartmentlist.com/tx/san-antonio/easton,white
Echelon at Monterrey Village,https://180apt.com/communities/echelon/,yellow
Edge and Stone,,red
Elation Buckskin,,red
Eleven West,https://www.apartmentlist.com/tx/bexar-county/eleven-west,white
Enclave at Dominion,https://www.myenclaveatthedominion.com/,green
Encore 281,https://www.apartmentlist.com/tx/san-antonio/encore-281--1,white
Encore Grayson,https://www.apartmentlist.com/tx/san-antonio/encore-grayson,white
Encore SoFlo,https://www.apartmentlist.com/tx/san-antonio/encore-soflo,white
Esperanza,https://www.apartmentlist.com/tx/bexar-county/esperanza--1,white
Evans Ranch,,red
Flats at Big Tex,https://www.apartmentlist.com/tx/san-antonio/the-flats-at-big-tex,white
Flats at River North,https://www.apartmentlist.com/tx/san-antonio/the-flats-at-river-north,white
Frame Med Center,https://framemedcenter.com/,yellow
Grand at Dominion,https://www.apartmentlist.com/tx/san-antonio/grand-at-the-dominion-apartments--1,red
Greenway,https://www.apartmentlist.com/tx/san-antonio/greenway-apartments,white
Grove at Westpointe,Property changing management and ownership; awaiting new site.,yellow
Hardy Oak,https://www.apartmentlist.com/tx/san-antonio/hardy-oak,red
Hawthorne House,,red
Henley at the Rim,https://www.missionrockresidential.com/apartments/tx/san-antonio/henley-at-the-rim/,yellow
Heritage Plaza,https://www.apartmentlist.com/tx/san-antonio/heritage-plaza,white
Heron on Hausman,https://www.herononhausman.com/,yellow
Highland Davis Ranch,,red
Hilltop Shavano,https://www.apartmentlist.com/tx/san-antonio/hilltop-at-shavano--1,white
Indian Hollow,https://www.apartmentlist.com/tx/san-antonio/indian-hollow,white
Infinity,https://www.apartmentlist.com/tx/san-antonio/infinity-at-the-rim,white
Inspire Downtown,https://www.apartmentlist.com/tx/san-antonio/inspire-downtown,white
Iron Ridge,https://www.apartmentlist.com/tx/san-antonio/ironridge-at-hill-country-village,white
Judson Pointe,https://www.apartmentlist.com/tx/san-antonio/judson-pointe,white
KB Canyon Crest,,red
Kenton Place,,red
Landmark Grandview,https://www.grandviewapts.com/,yellow
Lantower,,red
Laurel Canyon,https://www.apartmentlist.com/tx/san-antonio/laurel-canyon,white
Legacy Creekside,https://www.apartmentlist.com/tx/san-antonio/legacy-creekside,white
Lenox Hills,https://www.apartmentlist.com/tx/san-antonio/the-lennox,white
Linden at The Rim,https://www.hgliving.com/apartments/tx/san-antonio/linden-at-the-rim/,yellow
Lodge at Shavano Park,https://www.rentanapt.com/apartments/tx/san-antonio/the-lodge-at-shavano-park/,yellow
Lofts on Main,https://www.apartmentlist.com/tx/san-antonio/lofts-on-main,white
Los Robles,https://www.apartmentlist.com/tx/san-antonio/los-robles,red
Magnolia Heights,https://livemagnoliaheights.com/,yellow
Mark Huebner Oaks,,red
Maxwell Townhomes,https://www.apartmentlist.com/tx/san-antonio/maxwell-townhomes,white
Medwest,,red
Mela Luxury,https://www.apartmentlist.com/tx/san-antonio/mela-luxury-apartments,white
Melissa Ranch,https://www.melissaranchapartments.com/,yellow
Mira Vista,https://www.rentanapt.com/apartments/tx/san-antonio/mira-vista/,yellow
Mission Ranch,https://www.missionranchapts.com/,yellow
Mosaic,https://www.themosaiconbroadway.com/,yellow
Napa Oaks,https://www.apartmentlist.com/tx/boerne/napa-oaks,white
Nova,https://www.apartmentlist.com/tx/san-antonio/nova,white
Oro Stone Oak,,red
Overlook Exchange,https://www.themosaiconbroadway.com/,yellow
Overlook Rim,https://www.apartmentlist.com/tx/san-antonio/the-overlook--1,white
Oxford at Estonia,https://www.apartmentlist.com/tx/san-antonio/oxford-at-estonia,white
Oxford Medical,https://www.apartmentlist.com/tx/san-antonio/oxford-at-medical-center,white
Palmetto Pointe,https://www.apartmentlist.com/tx/san-antonio/palmetto-pointe,white
Paragon Westover Hills,https://www.apartmentlist.com/tx/san-antonio/paragon-westover-hills,white
Park at Briggs Ranch,https://www.parkatbriggsranch.com/,yellow
Park at Rialto,,red
Pecos Flats,https://www.apartmentlist.com/tx/san-antonio/pecos-flats,red
Platinum Shavano Oaks,https://www.apartmentlist.com/tx/san-antonio/platinum-shavano-oaks,red
Presidium Chase Hill,,red
Prose at Westover Hills,https://www.apartmentlist.com/tx/san-antonio/prose-westover-hills,white
Prose North West,https://www.apartmentlist.com/tx/san-antonio/prose-north-west,white
Prose Vista West,https://www.apartmentlist.com/tx/san-antonio/prose-vista-west,white
Pulte Davis Ranch,,red
Ranch at Westend,https://www.apartmentlist.com/tx/san-antonio/the-ranch-at-west-end,white
Redlands,https://www.apartmentlist.com/tx/san-antonio/the-redland,white
Remington Ranch,https://www.apartmentlist.com/tx/san-antonio/remington-ranch--2,white
Reveal Skyline,https://www.revealskyline.com/,yellow
Ridgeline Rogers Ranch,https://www.ridgelinerogersranch.com/,yellow
Rivera,,red
Royal Palms,https://www.apartmentlist.com/tx/san-antonio/royal-palms,white
Siena on Sonterra,https://www.sienaonsonterra.com/,yellow
Sienna at Westover Hills,https://www.apartmentlist.com/tx/san-antonio/sienna-at-westover-hills,white
Southtown Flats,https://www.apartmentlist.com/tx/san-antonio/southtown-flats--1,red
Spice Creek,https://www.hgliving.com/apartments/tx/san-antonio/spice-creek/,yellow
St. John,https://www.apartmentlist.com/tx/san-antonio/the-st-john--1,white
Summit at TPC,https://www.apartmentlist.com/tx/san-antonio/summit-at-tpc--1,white
Sunset Ridge,https://www.apartmentlist.com/tx/san-antonio/sunset-ridge--3,white
Tacara Crosswinds,https://www.apartmentlist.com/tx/san-antonio/tacara-at-crosswinds,white
Tacara Dove Creek,https://www.apartmentlist.com/tx/bexar-county/tacara-dove-creek,white
Tacara Stone Oak,https://www.apartmentlist.com/tx/san-antonio/tacara-at-stone-oak,white
Tara,https://www.apartmentlist.com/tx/san-antonio/tara,white
The Highline,https://www.apartmentlist.com/tx/san-antonio/the-highline,white
Timberhill Commons,https://www.apartmentlist.com/tx/leon-valley/timberhill-commons,white
Tin Top,https://www.apartmentlist.com/tx/san-antonio/tin-top-flats-at-the-creamery--1,white
